,Gruppe,Navn,Svind,kJ,"kcal",Nitrogen-til-protein faktor,"Nitrogen, total","Protein","Protein, deklaration","Kulhydrat, difference ","Kulhydrat, tilgængelig","Kulhydrat",Sukker,Kostfibre,"Fedt",FCF,Alkohol,Aske,Tørstof,Vand,A-vitamin,Retinol,beta-caroten,D-vitamin,D3-vitamin,D2 ergocalciferol,25-hydroxy D3-vitamin,25-hydroxyergocalciferol,E-vitamin,alfa-tokoferol,gamma-tokoferol,delta-tokoferol,alfa-tokotrienol,K1-vitamin,B1-vitamin,thiamin,"B2-vitamin, riboflavin",Niacinækvivalent,Niacin,B6-vitamin,Pantothensyre,Biotin,Folat,Frit folat,B12-vitamin,C-vitamin,L-ascorbinsyre,L-dehydroascorbinsyre,"Svovl, S","Chlorid, Cl","Natrium, Na","Kalium, K","Calcium, Ca","Magnesium, Mg","Fosfor, P","Jern, Fe","Kobber, Cu","Zink, Zn","Jod, I","Mangan, Mn","Chrom, Cr","Selen, Se","Molybdæn, Mo","Cobolt, Co","Nikkel, Ni","Fluor, F","Silicium, Si","Rubidium, Rb","Aluminium, Al","Bor, B","Brom, Br","Kviksølv, Hg","Arsen, As",Arsen uorganisk,"Cadmium, Cd","Bly, Pb","Tin, Sn",L-mælkesyre,D-mælkesyre,"Mælkesyre, total",Citronsyre,Oxalsyre,Æblesyre,Benzoesyre,"Organiske syrer, tot.",Histamin,Tyramin,Phenylethylamin,Putrescin,Cadaverin,Spermin,Spermidin,Serotonin,Fruktose,Galaktose,Glukose,"Monosaccharider, total",Laktose,Maltose,Sakkarose,"Disaccharider, total",Raffinose,Andre sukkerarter,"Sukkerarter, ialt",Sorbitol,Inositol,Maltitol,"Sukkeralkoholer, total",Stivelse,IDF,SDFP,SDFS,Hexose,Pentose,Uronic Acid,Cellulose,Lignin,Crude fibre,Neutr.Det.Fibre (NDF),C4:0,C6:0,C8:0,C10:0,C12:0,C13:0,C14:0,C15:0,C16:0,C17:0,C18:0,C20:0,C21:0,C22:0,C23:0,C24:0,Andre mættede fedtsyrer,"C12:1,n-1","C14:1,n-5",C15:1,"C16:1,n-7","C17:1,n-7","C18:1,n-9","C18:1,n-7","C20:1,n-9","C20:1,n-11","C22:1,n-9","C22:1,n-11","C24:1,n-9",Andre monoumættede fedtsyrer,"C18:2,n-6","C18:2,conjugerede","C18:3,n-3 (ALA)","C18:3,n-6","C18:4,n-3","C20:2,n-6","C22:2,n-6","C22:4,n-6","C22:5,n-6","C20:3,n-3","C20:4,n-3","C20:3,n-6","C20:4,n-6","C20:5,n-3 (EPA)","C22:5,n-3","C22:6,n-3 (DHA)",Andre polyumættede,"C14:1,trans","C16:1,trans","C18:1,trans","C20:1,trans","C22:1,trans","C18:2,trans",Andre fedtsyrer,Sum mættede,Sum monoumættede,Sum polyumættede,"Transfedtsyrer, total","Fedtsyrer, total",Sum n-3 fedtsyrer,Sum n-6 fedtsyrer,Cholesterol,Isoleucin,Leucin,Lysin,Methionin,Cystin,Phenylalanin,Tyrosin,Threonin,Tryptofan,Valin,Arginin,Histidin,Alanin,Asparaginsyre,Glutaminsyre,Glycin,Prolin,Hydroxyprolin,Serin,Massefylde
481,Frugtprodukter,"Ribssaft, sur, koncentreret",0,163,39,6.25,0.08,0.5,0.5,8,8,8,0,0,0.5,0.8,0,0.2,9.2,90.8,iv,iv,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,0.467,0.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,15.6,iv,18.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,5.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.091,iv,0.021,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.008,iv,0.073,iv,iv,iv,iv,iv,iv,iv,0.117,iv,0.091,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.112,0.081,0.208,iv,0.4,0.091,0.117,iv,18,30,26,8,3,17,8,17,16,22,30,9,23,73,68,19,18,iv,22,iv
482,Bærfrugt,"Jordbær, dybfrost, sukrede",0,355,84,6.25,0.083,0.5,0.5,20.9,19,19,11.9,1.9,0.2,0.8,0,0.3,21.9,78,1.5,0,18,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,20,0.015,iv,0.077,0.401,0.293,0.028,0.108,iv,117,iv,0,39.5,39.5,iv,iv,iv,1,98,11,6,12,0.47,0.019,0.05,iv,0.249,1,0,0,iv,5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.017,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.028,iv,iv,iv,iv,iv,iv,iv,0.061,iv,0.055,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.017,0.028,0.116,iv,0.16,0.055,0.061,0,19,31,27,8,3,17,8,17,6,22,32,9,24,76,71,20,18,iv,23,iv
483,Usyrnede mælkeprodukter,Fløde 13 %,0,624,151,6.38,0.455,2.9,2.8,4.5,4.5,4,0,0,13.5,0.945,0,0.6,21.5,78.5,120,115,59,0.177,0.0445,iv,0.0266,iv,0.34,0.34,iv,iv,iv,0,0.036,iv,0.187,0.732,0.08,0.047,0.3,1.4,12,3,0.37,1,1,iv,iv,80,39,136,104,10.7,79,0.04,0.007,0.37,10.1,0.007,0.052,iv,5,iv,0.179,iv,iv,iv,iv,iv,iv,0.1,1,iv,0.002,0.089,iv,iv,iv,iv,0.175,iv,iv,iv,0.175,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,0,3.95,0,0,3.95,iv,0,3.95,iv,iv,iv,iv,0,iv,iv,iv,0,0,0,0,0,iv,iv,0.443,0.488,0.227,0.404,0.451,iv,1.318,iv,3.767,0,1.508,0.036,iv,0,iv,0,iv,iv,0.174,iv,0.223,iv,3.27,0,iv,0.105,0,0,0,iv,0.259,iv,0.06,iv,0,0,iv,iv,iv,0,iv,0,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,0,8.641,3.772,0.319,iv,12.732,0.06,0.259,46,168,278,259,73,22,146,123,123,39,200,100,82,96,237,578,59,282,iv,164,iv
485,Sydfrugt,"Ananas, rå",51,234,55,6.25,0.08,0.5,0.5,13.2,11.8,10.8,0,1.4,0.4,0.8,0,0.4,14.5,85.5,5,0,60,0,0,iv,iv,iv,0.1,0.1,iv,iv,iv,iv,0.08,iv,0.02,0.307,0.2,0.09,0.16,0,12.1,9,0,25,25,iv,iv,iv,4,174,18.9,14,13.9,0.2,0.09,0.082,1.4,1.5,11,0.6,3,iv,50,iv,iv,iv,iv,iv,iv,0.05,2,iv,0.3,22,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,iv,iv,iv,iv,iv,iv,1.7,2.34,iv,1.94,4.29,iv,iv,6.49,6.49,iv,iv,10.8,0,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.32,iv,iv,0,iv,iv,11,2,iv,13,13,iv,6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
486,Andre sukkervarer,Saccharin,0,1531,360,6.25,0.15,0.9,0.9,89.1,89.1,0,0,0,0,0.7,0,1.2,91.3,8.8,0,0,0,0,0,iv,iv,iv,0,0,iv,iv,iv,0,0,iv,0,0,0,0,0,0,0,iv,0,0,0,iv,iv,iv,428,4,0,0,0,0.04,0,0.01,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0,iv,0,iv,0,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,0,iv,iv,0,0,iv,iv,iv,0,iv,0,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,iv,iv,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
489,Charcuterivarer,Salami,0,2104,509,6.25,2.221,13.9,13.9,2.8,2.8,2.8,0,0,49.2,0.92,0,5.4,71.3,28.7,0,0,0,1.05,0.329,iv,0.145,iv,0.02,0.02,iv,iv,iv,0,0.14,iv,0.18,4.11,2.3,0.15,0.8,3,3,2,1.3,0,0,iv,iv,2840,1990,204,11.1,10,119,1.1,0.11,1.67,4.1,0.048,12,5,10,iv,24,iv,iv,iv,iv,iv,iv,iv,iv,iv,1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,3.5,21,2.87,21.2,1.7,4.04,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,0.089,iv,0.902,iv,11.256,0.169,5.519,0.09,iv,0,iv,0.05,iv,iv,0,iv,1.362,iv,19.864,0,iv,0.425,0,0,0,iv,4.614,iv,0.382,iv,0,0.202,iv,iv,iv,0,iv,0.058,iv,0,0.072,0.063,iv,iv,iv,iv,iv,iv,iv,0.15,18.074,21.651,5.39,iv,45.265,0.516,4.874,83,578,955,1070,244,138,511,333,489,109,666,777,289,822,1130,1640,1090,755,iv,489,iv
490,Rod- og knoldgrøntsager,"Ræddike, rå",34,93,22,6.25,0.16,1,1,4.6,3.9,3.9,0,0.7,0.1,0.8,0,0.8,6.5,93.5,1.67,0,20,0,0,iv,iv,iv,0,0,iv,iv,iv,iv,0.05,iv,0.04,0.483,0.4,0.11,0.18,iv,24,18,0,20,20,iv,iv,iv,9,350,50,9,29,0.6,0.04,0.32,1.1,0.08,1,0.1,0,iv,4,iv,iv,iv,iv,iv,iv,0.1,0,iv,2,1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.019,iv,0.002,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,iv,iv,iv,iv,iv,iv,iv,0.012,iv,0.036,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.021,0.01,0.049,iv,0.08,0.036,0.012,0,21,34,40,10,14,19,10,26,5,35,86,15,38,58,134,24,40,iv,40,iv
491,Sydfrugt,"Cantaloupe (melon), rå",44,152,36,6.25,0.134,0.8,0.8,8.2,7.3,7.9,0,0.9,0.2,0.7,0,0.7,9.8,90.2,2,0,24,0,0,iv,iv,iv,0.14,0.14,iv,iv,iv,0,0.041,iv,0.019,0.768,0.734,0.072,0.105,iv,21,iv,0,27.8,24.8,3,iv,iv,16,267,9.02,12,38.9,0.21,0.041,0.18,0,0.041,0,0,0,0,7,0,0,60,0,0,0,0.2,3,iv,1,3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.87,0.06,1.54,3.47,0,0.04,4.35,4.39,iv,iv,7.86,iv,iv,iv,iv,0.03,iv,iv,iv,iv,iv,iv,iv,iv,0.6,0.32,iv,iv,iv,iv,iv,iv,iv,iv,0.041,iv,0.008,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.004,iv,0.02,iv,iv,iv,iv,iv,iv,iv,0.024,iv,0.036,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.049,0.024,0.06,iv,0.133,0.036,0.024,0,21,29,iv,12,2,23,13,17,2,34,29,15,95,134,214,25,19,iv,42,iv
492,Grøntsagsprodukter,"Rødbede, konserves, uden tilsat sukker",0,123,29,6.25,0.146,0.9,0.9,7.2,4.9,9.9,0,2.3,0.1,0.8,0,0.8,9,91,0.583,0,7,0,0,iv,iv,iv,0.08,0.08,iv,iv,iv,0.2,0.01,iv,0.04,0.237,0.157,0.05,0.1,0,93,69,0,4.1,4.1,iv,iv,iv,194,148,15,17,17,1.82,0.059,0.21,0.5,0.72,5,0.5,0,iv,10,26.3,iv,iv,iv,iv,iv,0,0,iv,4,7,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.01,iv,iv,iv,iv,iv,iv,iv,0,iv,0.08,0.08,0,0,9.8,9.8,iv,iv,9.88,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.026,iv,0.001,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.014,iv,iv,iv,iv,iv,iv,iv,0.059,iv,0.012,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.027,0.014,0.071,iv,0.112,0.012,0.059,0,18,19,20,4,1,8,7,16,5,23,18,9,22,47,266,16,10,iv,28,iv
493,Andre sammensatte fødevarer,"Kødboller, konserves",0,525,126,6.25,1.136,7.1,7.1,2.9,2.9,2.9,0,0,9.6,0.9,0,1.9,21.5,78.5,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,0,iv,iv,795,475,140,33.5,24.5,iv,1.05,0.074,1.3,iv,iv,iv,iv,iv,iv,18,iv,iv,iv,iv,iv,iv,0.2,iv,iv,1.2,5,90,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,8.64,iv,iv,30,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
495,Bløddyr,"Blæksprutte, rå",0,324,77,6.25,2.624,16.4,16.4,0.7,0.7,1.5,0,0,0.9,0.8,0,1,19,81,50,50,0,1,1,iv,iv,iv,2.1,2.1,iv,iv,iv,iv,0.067,iv,0.073,3.2,3.2,0.36,iv,iv,10,iv,10,0,0,iv,iv,iv,363,232,28,iv,109,1.5,iv,1.62,20,0.01,2,26,iv,iv,1.1,iv,iv,iv,iv,iv,iv,1.2,545,iv,43.2,3.1,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,1.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.72,iv,iv,210,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
496,Rod- og knoldgrøntsager,"Peberrod, rå",26,438,104,6.25,1.232,7.7,7.7,20.5,13,11,0,7.5,0.7,0.8,0,1.8,30.7,69.3,1.67,0,20,0,0,iv,iv,iv,0,0,iv,iv,iv,iv,0.14,iv,0.11,1.26,0.6,0.18,iv,iv,iv,iv,0,152,152,iv,iv,iv,6,587,93.7,25,80.5,1.3,0.23,1.4,0.9,0.46,3,0.2,0,iv,30,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,7.3,iv,iv,iv,iv,3.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.1,iv,0.009,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.005,iv,0.062,iv,iv,iv,iv,iv,iv,iv,0.118,iv,0.267,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.109,0.067,0.384,iv,0.56,0.267,0.118,0,148,197,209,38,9,123,83,148,39,222,1640,136,122,370,616,136,505,iv,185,iv
497,Frugtprodukter,"Jordbær i sukkerlage, konserves",0,345,81,6.25,0.064,0.4,0.4,19.5,18.6,20.1,20.1,0.9,0.4,0.8,0,0.3,20.6,79.4,0,0,0,0,0,iv,iv,iv,0.2,0.2,iv,iv,iv,iv,0.01,iv,0.034,0.383,0.3,0.03,0.21,1,20,8,0,21,21,iv,iv,iv,7,97,14,7,15,0.9,0.03,0.2,iv,0.2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,20.1,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.055,iv,iv,iv,iv,iv,iv,iv,0.121,iv,0.11,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.033,0.055,0.232,iv,0.32,0.11,0.121,0,15,24,21,6,2,13,6,13,5,17,24,7,19,58,54,15,14,iv,18,iv
498,Færdigretter,"Grisekød i karrysovs, dybfrost",0,497,119,6.25,1.36,8.5,8.5,2,2,2,iv,0,8.6,0.9,0,1.3,20.4,79.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.13,iv,0.1,2.61,1,0.08,0.29,iv,iv,iv,0.29,iv,iv,iv,iv,iv,iv,iv,27,iv,iv,0.7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,7.74,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,97,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
500,Frugtprodukter,"Solbærsaft, sur, koncentreret",0,214,51,6.25,0.08,0.5,0.5,11,11,11,0,0,0.5,0.8,0,0.2,12.2,87.8,iv,iv,iv,iv,iv,iv,iv,iv,0,0,iv,iv,iv,iv,iv,iv,iv,0.383,0.15,iv,iv,iv,iv,iv,iv,66,66,iv,iv,iv,iv,iv,26.9,iv,19.6,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,7,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.084,iv,0.008,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.031,iv,iv,iv,iv,iv,iv,iv,0.185,iv,0.092,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.092,0.031,0.277,iv,0.4,0.092,0.185,iv,18,30,26,8,3,17,8,17,14,22,30,9,23,73,68,19,18,iv,22,iv
501,Bløddyr,"Vinbjergssnegle, rå",0,355,84,6.25,2.56,16,16,2.7,2.7,2,0,0,1,0.92,0,1.3,21,79,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,15,15,iv,iv,iv,iv,iv,170,250,iv,3.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0,iv,iv,iv,iv,2,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.92,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
502,Rod- og knoldgrøntsager,"Gulerod, dybfrost",0,124,30,6.25,0.173,1.1,1.1,7,4.7,4.7,0,2.3,0.2,0.711,0,0.5,8.8,91.2,1060,0,12800,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.044,iv,0.037,0.646,0.464,0.095,0.187,iv,10,iv,0,3.95,3.95,iv,iv,iv,68,235,36,12,33,0.44,0.074,0.33,iv,0.171,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.68,iv,0.86,1.54,iv,iv,2.2,2.2,0,0,3.74,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,1.07,1.4,0,0,0,0,0.002,iv,0.001,iv,0.03,iv,0.001,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.003,iv,0.007,iv,iv,0,0,iv,iv,iv,0.087,iv,0.012,iv,0,iv,iv,iv,iv,iv,iv,iv,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0.034,0.01,0.099,iv,0.142,0.012,0.087,0,42,45,42,7,9,33,21,40,11,45,45,17,61,142,208,31,29,iv,35,iv
503,Grøntsagsprodukter,"Peberfrugt, konserves",0,80,19,6.25,0.128,0.8,0.8,3.9,2.7,2.7,0,1.2,0.3,0.8,0,3.8,8.8,91.3,8,0,96,0,0,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.025,iv,0.03,0.627,0.55,iv,iv,iv,52,23,0,46.5,46.5,iv,iv,iv,1370,146,41,15,20,0.8,0.13,0.18,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.047,iv,0.015,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.009,iv,iv,iv,iv,iv,iv,iv,0.107,iv,0.062,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,0.062,0.009,0.169,iv,0.24,0.062,0.107,0,24,32,37,6,6,24,12,26,5,37,31,13,31,105,110,27,20,iv,38,iv
504,Kager,"Tørkage, kokosmakroner",0,1989,476,5.7,1.105,6.3,6.9,49.3,49.3,48.7,iv,0,28.2,0.93,0,0.8,84.6,15.4,0,0,0,0,0,iv,iv,iv,iv,iv,iv,iv,iv,0,0.02,iv,0.09,iv,0.3,iv,iv,iv,iv,iv,0,0,0,iv,iv,iv,iv,iv,15,iv,iv,1.5,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,26.226,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
505,Is ,"Ispind, vanille",0,778,186,6.25,0.64,4,4,20,20,20,19,0,10,0.93,0,1.1,35.1,64.9,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,9.3,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv,iv
